订单编号,客户,缺失字段,已知值,插补值,方法
61.0,4,体积,重量=36.8000,0.08916,同客户密度（11条完整订单，密度=412.7242）
75.0,7,体积,重量=97.8350,0.2422,同客户密度（45条完整订单，密度=403.9367）
143.0,8,重量,体积=0.16000,52.4138,同客户密度（68条完整订单，密度=327.5866）
194.0,9,重量,体积=0.06060,23.4098,同客户密度（35条完整订单，密度=386.3001）
223.0,12,体积,重量=47.6720,0.1249,同客户密度（13条完整订单，密度=381.6685）
260.0,9,重量,体积=0.10110,39.0549,同客户密度（35条完整订单，密度=386.3001）
302.0,76,体积,重量=31.7520,0.10218,同客户密度（16条完整订单，密度=310.7371）
357.0,48,体积,重量=959.6267,2.45578,同客户密度（41条完整订单，密度=390.7632）
464.0,61,体积,重量=146.3168,0.45895,同客户密度（36条完整订单，密度=318.8091）
534.0,73,重量,体积=0.01714,6.8215,同客户密度（28条完整订单，密度=397.9867）
563.0,55,体积,重量=433.7467,1.13557,同客户密度（60条完整订单，密度=381.9636）
618.0,66,重量,体积=0.09520,30.952,同客户密度（37条完整订单，密度=325.1263）
683.0,41,体积,重量=33.7892,0.09638,同客户密度（34条完整订单，密度=350.5681）
741.0,67,重量,体积=0.06740,21.766,同客户密度（49条完整订单，密度=322.9382）
883.0,42,重量,体积=0.06638,27.5721,同客户密度（23条完整订单，密度=415.3678）
1038.0,59,重量,体积=0.06469,24.579,同客户密度（59条完整订单，密度=379.9501）
1149.0,50,体积,重量=28.7570,0.07802,同客户密度（54条完整订单，密度=368.5759）
1226.0,74,重量,体积=1.77711,722.74,同客户密度（23条完整订单，密度=406.6940）
1337.0,62,体积,重量=13.1500,0.03759,同客户密度（62条完整订单，密度=349.8484）
1474.0,54,重量,体积=0.03428,12.9496,同客户密度（54条完整订单，密度=377.7583）
1539.0,42,体积,重量=127.6740,0.30738,同客户密度（23条完整订单，密度=415.3678）
1625.0,47,重量,体积=0.04697,16.2488,同客户密度（37条完整订单，密度=345.9400）
1677.0,52,体积,重量=25.7300,0.06554,同客户密度（52条完整订单，密度=392.5925）
1721.0,65,体积,重量=1266.0502,3.53584,同客户密度（53条完整订单，密度=358.0619）
1815.0,51,重量,体积=0.20290,72.6427,同客户密度（52条完整订单，密度=358.0221）
1890.0,58,体积,重量=10.6700,0.03587,同客户密度（42条完整订单，密度=297.4275）
1955.0,58,体积,重量=30.0000,0.10086,同客户密度（42条完整订单，密度=297.4275）
2021.0,52,重量,体积=0.04952,19.4412,同客户密度（52条完整订单，密度=392.5925）
2093.0,64,体积,重量=44.9860,0.10927,同客户密度（48条完整订单，密度=411.6831）
2166.0,51,重量,体积=0.03637,13.0213,同客户密度（52条完整订单，密度=358.0221）
